;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14
1684703;1;4;5;6;7;12;13;16;17;18;19;20;23;24;25
1684710;1;4;5;6;7;12;13;16;17;18;20;21;22;23;25
1684712;1;4;5;6;7;12;13;16;17;18;20;21;23;24;25
1685121;1;4;5;6;7;13;14;17;18;20;21;22;23;24;25
1708007;1;4;5;6;9;10;12;13;14;16;17;20;21;23;25
1712153;1;4;5;6;9;12;13;16;17;18;19;20;21;23;24
1712157;1;4;5;6;9;12;13;16;17;18;19;20;22;23;25
1712159;1;4;5;6;9;12;13;16;17;18;19;20;23;24;25
1712166;1;4;5;6;9;12;13;16;17;18;20;21;22;23;25
1712168;1;4;5;6;9;12;13;16;17;18;20;21;23;24;25
1712577;1;4;5;6;9;13;14;17;18;20;21;22;23;24;25
